DATE,AMP,GOODRSTOCK,PDA,TWC,Total
11/02/22,0,0,0,0,0
11/03/22,0,0,0,0,0
11/04/22,0,0,0,0,0
11/05/22,,,,,
11/06/22,,,,,
11/07/22,0,0,0,0,0
11/08/22,0,0,0,0,0
11/09/22,0,0,0,0,0
11/10/22,0,0,0,0,0
11/11/22,0,0,0,0,0
11/12/22,,,,,
11/13/22,,,,,
11/14/22,0,0,0,0,0
11/15/22,0,0,0,1,0.25
11/16/22,0,0,0,0,0
11/17/22,0,0,0,0,0
11/18/22,0,0,0,0,0
11/19/22,,,,,
11/20/22,,,,,
11/21/22,0,0,0,0,0
11/22/22,0,0,0,0,0
11/23/22,0,0,0,0,0
11/24/22,0,0,0,0,0
11/25/22,0,0,0,0,0
11/26/22,,,,,
11/27/22,,,,,
11/28/22,0,0,0,0,0
11/29/22,0,0,0,1,0.25
11/30/22,0,0,0,0,0
12/01/22,0,0,0,0,0
12/02/22,0,0,0,0,0
12/03/22,,,,,
12/04/22,,,,,
12/05/22,0,0,0,0,0
12/06/22,0,0,0,1,0.25
12/07/22,0,0,0,0,0
12/08/22,0,0,0,0,0
12/09/22,0,0,0,0,0
12/10/22,,,,,
12/11/22,,,,,
12/12/22,0,1,0,0,0.25
12/13/22,0,1,0,0,0.25
12/14/22,0,1,0,0,0.25
12/15/22,0,2,0,0,0.5
12/16/22,0,1,0,0,0.25
12/17/22,,,,,
12/18/22,,,,,
12/19/22,0,0,0,0,0
12/20/22,0,0,0,1,0.25
12/21/22,0,0,0,0,0
12/22/22,0,0,0,0,0
12/23/22,0,0,0,0,0
12/24/22,,,,,
12/25/22,,,,,
12/26/22,0,0,0,0,0
12/27/22,0,0,0,0,0
12/28/22,0,0,0,0,0
12/29/22,0,0,0,0,0
12/30/22,0,0,0,0,0
12/31/22,,,,,
